time,link
2022-01-02,https://www.cnbc.com/2022/01/02/the-most-accurate-analysts-on-wall-street-in-2021.html
2022-01-03,https://www.cnbc.com/2022/01/03/bitcoin-launched-13-years-ago-today-8-milestones-from-the-past-year.html
2022-01-03,https://www.cnbc.com/2022/01/03/jurors-in-holmes-trial-remain-deadlocked-on-three-of-11-fraud-counts.html
2022-01-04,https://www.cnbc.com/2022/01/04/token-airdrops-are-common-in-crypto-but-investors-should-be-cautious.html
2022-01-04,https://www.cnbc.com/2022/01/04/china-launches-digital-currency-app-to-expand-usage.html
2022-01-04,https://www.cnbc.com/2022/01/04/founder-of-crypto-lender-nexo-says-bitcoin-could-hit-100000-in-2022-.html
2022-01-04,https://www.cnbc.com/2022/01/04/upskilling-better-training-keys-to-increasing-cyber-talent-pool.html
2022-01-05,https://www.cnbc.com/2022/01/05/made-a-killing-with-crypto-in-2021-how-to-calculate-your-tax-bill.html
2022-01-05,https://www.cnbc.com/2022/01/05/kevin-oleary-on-why-he-thinks-nfts-will-become-bigger-than-bitcoin.html
2022-01-05,https://www.cnbc.com/2022/01/05/ray-dalio-allocating-2percent-of-portfolio-to-bitcoin-is-reasonable.html
2022-01-05,https://www.cnbc.com/2022/01/05/btcs-offering-bitcoin-dividends-but-experts-say-to-buy-btc-direct.html
2022-01-05,https://www.cnbc.com/2022/01/05/linksdao-raised-millions-selling-nfts-to-buy-a-golf-course.html
2022-01-05,https://www.cnbc.com/2022/01/05/grammy-awards-postponed-indefinitely-due-to-concerns-about-omicron-covid-spread.html
2022-01-05,https://www.cnbc.com/2022/01/05/powerballs-jackpot-is-now-630-million-what-to-do-first-if-you-win.html
2022-01-05,https://www.cnbc.com/2022/01/05/cramer-says-its-impossible-to-recommend-chinese-stocks-in-a-hostile-communist-regime.html
2022-01-06,https://www.cnbc.com/2022/01/06/kazakhstan-bitcoin-mining-shuts-down-amid-fatal-protests.html
2022-01-06,https://www.cnbc.com/2022/01/06/bitcoin-btc-slides-cryptocurrencies-drop-on-hawkish-fed-minutes.html
2022-01-06,https://www.cnbc.com/2022/01/06/crypto-scammers-took-a-record-14-billion-in-2021-chainalysis.html
2022-01-06,https://www.cnbc.com/2022/01/06/gamestop-shares-surge-on-report-it-will-create-nft-marketplace-.html
2022-01-06,https://www.cnbc.com/2022/01/06/stock-market-futures-open-to-close-news.html
2022-01-06,https://www.cnbc.com/2022/01/06/powerball-632-million-jackpot-has-two-winners-heres-the-tax-bill.html
2022-01-06,https://www.cnbc.com/2022/01/06/moderna-ceo-says-people-may-need-fourth-covid-shot-as-efficacy-of-boosters-likely-to-decline-over-time.html
2022-01-06,https://www.cnbc.com/2022/01/06/chinas-digital-currency-comes-to-tencents-wechat-in-expansion-push.html
2022-01-07,https://www.cnbc.com/2022/01/07/most-expensive-home-in-america-lists-for-295-million-may-head-to-auction.html
2022-01-07,https://www.cnbc.com/2022/01/07/cryptocurrency-theft-bitmart-still-owes-victims-of-200-million-hack.html
2022-01-07,https://www.cnbc.com/2022/01/07/crypto-bitcoin-btc-price-slumps-to-3-month-low.html
2022-01-07,https://www.cnbc.com/2022/01/07/gamestop-shares-surge-16percent-after-news-it-plans-to-launch-an-nft-marketplace.html
2022-01-07,https://www.cnbc.com/2022/01/07/chinas-property-problems-spread-to-once-healthy-developers-like-shimao.html
2022-01-07,https://www.cnbc.com/2022/01/07/liberty-global-stands-by-board-member-john-dick-despite-daughters-theft-claims.html
2022-01-08,https://www.cnbc.com/2022/01/08/tesla-owner-mines-bitcoin-ethereum-with-his-car.html
2022-01-08,https://www.cnbc.com/2022/01/08/the-future-of-sports-stadiums-smaller-arenas-more-tech-greener.html
2022-01-10,https://www.cnbc.com/2022/01/10/bitcoin-tumbles-below-40000-to-lowest-since-september-as-investors-dump-risky-assets.html
2022-01-10,https://www.cnbc.com/2022/01/10/metaverse-crypto-and-quantum-will-benefit-big-tech-analyst-says.html
2022-01-10,https://www.cnbc.com/2022/01/10/joe-manchins-former-aides-get-top-tier-lobbying-clients-as-ex-boss-fights-biden-agenda.html
2022-01-10,https://www.cnbc.com/2022/01/10/first-on-cnbc-cnbc-transcript-jpmorgan-chase-chairman-ceo-jamie-dimon-speaks-with-cnbcs-bertha-coombs-on-the-exchange-today.html
2022-01-11,https://www.cnbc.com/2022/01/11/sec-is-running-out-of-excuses-for-rejecting-bitcoin-etf-ric-edelman.html
2022-01-11,https://www.cnbc.com/2022/01/11/mark-cuban-says-this-is-the-least-important-part-of-crypto-for-investors-to-focus-on.html
2022-01-11,https://www.cnbc.com/2022/01/11/crypto-scams-are-the-top-threat-to-investors-by-far-say-regulators.html
2022-01-11,https://www.cnbc.com/2022/01/11/make-a-killing-on-nfts-and-crypto-the-irs-may-tax-them-differently.html
2022-01-11,https://www.cnbc.com/2022/01/11/citadel-securities-valued-at-22-billion-after-investment-from-sequoia-paradigm.html
2022-01-11,https://www.cnbc.com/2022/01/11/china-digital-yuan-pboc-to-expand-e-cny-use-but-challenges-remain.html
2022-01-11,https://www.cnbc.com/2022/01/11/cnbc-transcript-billionaire-investor-just-capital-co-founder-paul-tudor-jones-and-accenture-chair-ceo-julie-sweet-speak-with-cnbcs-squawk-box-today.html
2022-01-11,https://www.cnbc.com/2022/01/11/goldmans-david-kostin-says-a-tech-disconnect-is-the-single-greatest-mispricing-in-us-equities.html
2022-01-12,https://www.cnbc.com/2022/01/12/jared-kushner-is-a-bitcoin-and-crypto-fan-mnuchin-emails-show.html
2022-01-12,https://www.cnbc.com/2022/01/12/kim-kardashian-and-floyd-mayweather-sued-over-alleged-crypto-scam.html
2022-01-12,https://www.cnbc.com/2022/01/12/investors-are-paying-millions-for-virtual-land-in-the-metaverse.html
